,GraphNames,order,edges,connected,max_component,minDegree,maxDegree,mean_degree,minCut,FiedlerValue,Normalized_FiedlerValue,closeness_centr,modularity,diameter,betw_centr,transitivity,threshold,spectral_radius,eigen_centr,deg_centr,mean_eccentr,radius,mean_path_length,graph_energy,min_triangle,mean_triangle,sd_triangle,max_triangle,num_triangle,deg_assort_coef
1,aves-barn-swallow-contact-network,17,53,1,17,1,11,6.235294118,1,0.735768791,0.450882511,0.037249519,0.119437522,4,0.093034474,0.47277937,0.134999771,7.407419963,0.412107703,0.297794118,2.941176471,2,1.727941176,30.52601977,0,9.705882353,7.015738609,22,165,-0.310346661
2,aves-barn-swallow-non-physical,17,122,1,17,9,16,14.35294118,9,8.663042887,0.818365929,0.057247362,0.002956195,2,0.006499369,0.921686747,0.06857456,14.5826675,0.094488834,0.102941176,1.705882353,1,1.102941176,34.16645288,35,90,20.31932578,106,1530,-0.152796855
3,aves-geese-female-foraging,20,190,1,20,19,19,19,19,20,1.052631579,0.052631579,0,1,0,1,0.052631579,19,0,0,1,1,1,38,171,171,0,171,3420,NaN
4,aves-geese-male-foraging,23,253,1,23,22,22,22,22,23,1.045454545,0.045454545,0,1,0,1,0.045454545,22,1.69E-16,0,1,1,1,44,231,231,0,231,5313,NaN
5,aves-hens-pecking-order,32,496,1,32,31,31,31,31,32,1.032258065,0.032258065,0,1,0,1,0.032258065,31,1.18E-16,0,1,1,1,62,465,465,0,465,14880,NaN
6,aves-songbird-social,108,1026,1,108,1,56,19,1,0.682305769,0.097805219,0.004269265,0.367618337,6,0.105844737,0.558333025,0.034903051,28.65079013,0.694327722,0.345794393,4.351851852,3,2.254240222,278.9259501,0,139.8055556,137.3620265,582,15099,-0.004511219
7,aves-sparrow-social-2009,31,211,1,31,4,23,13.61290323,1,0.191884676,0.040741844,0.018532266,0.196278161,4,0.267968574,0.706401045,0.062427497,16.01858244,0.430690726,0.312903226,3.483870968,2,1.890322581,69.86610984,6,69.77419355,37.81596636,146,2163,0.288600346
8,aves-sparrow-social-2010,40,305,1,40,3,29,15.25,3,2.870746119,0.401412425,0.015851701,0.209680193,3,0.078915409,0.598282443,0.055606803,17.98341129,0.46440164,0.352564103,2.475,2,1.646153846,99.49725057,3,78.375,51.00260803,193,3135,-0.115917964
9,aves-sparrow-social,52,454,1,52,3,35,17.46153846,3,1.979265701,0.318895132,0.011447039,0.202221079,3,0.052963525,0.596083886,0.046391085,21.55586577,0.503576135,0.343891403,2.730769231,2,1.748868778,134.332383,3,107.1346154,76.47965995,282,5571,-0.05617466
10,aves-sparrowlyon-flock-season2,46,348,1,46,1,31,15.13043478,1,0.967973819,0.355514567,0.012923379,0.230103878,4,0.064538518,0.582477535,0.053398693,18.7270501,0.508757184,0.352657005,2.847826087,2,1.75942029,113.0304872,0,78.91304348,56.76846781,215,3630,-0.099807602
