"target","Predicted_classes"
"aves-barn-swallow-contact-network","SF"
"aves-barn-swallow-non-physical","Spatial"
"aves-geese-female-foraging","SW"
"aves-geese-male-foraging","SW"
"aves-hens-pecking-order","SW"
"aves-songbird-social","SF"
"aves-sparrow-social-2009","Spatial"
"aves-sparrow-social-2010","Spatial"
"aves-sparrow-social","SF"
"aves-sparrowlyon-flock-season2","SF"
"aves-sparrowlyon-flock-season3","Spatial"
"aves-thornbill-farine","Spatial"
"aves-weaver-social-00","Spatial"
"aves-weaver-social-03","Spatial"
"aves-weaver-social-05","Spatial"
"aves-weaver-social-06","Spatial"
"aves-weaver-social-08","SF"
"aves-weaver-social-09","Spatial"
"aves-weaver-social-10","SF"
"aves-weaver-social-11","SF"
"aves-weaver-social-12","Spatial"
"aves-weaver-social-13","Spatial"
"aves-weaver-social-14","Spatial"
"aves-weaver-social-16","SF"
"aves-weaver-social-19","SF"
"aves-weaver-social-20","Spatial"
"aves-weaver-social-21","Spatial"
"aves-weaver-social-22","SF"
"aves-weaver-social","SF"
"aves-wildbird-network-1","Spatial"
"aves-wildbird-network-2","SF"
"aves-wildbird-network-3","Spatial"
"aves-wildbird-network-4","Spatial"
"aves-wildbird-network-5","Spatial"
"aves-wildbird-network-6","Spatial"
"aves-wildbird-network","Spatial"
"Badger_Autumn1.csv ","Spatial"
"Badger_Autumn2.csv ","Spatial"
"Badger_Autumn3.csv ","Spatial"
"Badger_Autumn4.csv ","Spatial"
"Badger_Spring1.csv ","Spatial"
"Badger_Spring2.csv ","Spatial"
"Badger_Spring3.csv ","Spatial"
"Badger_Summer1.csv ","Spatial"
"Badger_Summer2.csv ","Spatial"
"Badger_Summer3.csv ","Spatial"
"Badger_Summer4.csv ","Spatial"
"Badger_Winter2.csv ","Spatial"
"Badger_Winter3.csv ","Spatial"
"Badger_Winter4.csv ","Spatial"
"Chimp__AugSRI_G_Matrix.csv ","Spatial"
"Chimp__DecSRI_G_Matrix.csv ","Spatial"
"Chimp__JunSRI_G_Matrix.csv ","Spatial"
"Chimp_Apr_Prob5_MatrixNoNAs.csv ","SF"
"Chimp_AprSRI_G_Matrix.csv ","Spatial"
"Chimp_Aug_Prob5_MatrixNoNAs.csv ","SF"
"Chimp_Dec_Prob5_MatrixNoNAs.csv ","Spatial"
"Chimp_Feb_Prob5_MatrixNoNAs.csv ","Spatial"
"Chimp_FebSRI_G_Matrix.csv ","Spatial"
"Chimp_Jan_Prob5_MatrixNoNAs.csv ","Spatial"
"Chimp_JanSRI_G_Matrix.csv ","Spatial"
"Chimp_Jul_Prob5_MatrixNoNAs.csv ","Spatial"
"Chimp_JulSRI_G_Matrix.csv ","Spatial"
"Chimp_Jun_Prob5_MatrixNoNAs.csv ","Spatial"
"Chimp_Mar_Prob5_MatrixNoNAs.csv ","Spatial"
"Chimp_MarSRI_G_Matrix.csv ","Spatial"
"Chimp_May_Prob5_MatrixNoNAs.csv ","Spatial"
"Chimp_MaySRI_G_Matrix.csv ","Spatial"
"Domestic_Ddog_matrix1.csv ","Spatial"
"Domestic_Ddog_matrix2.csv ","Spatial"
"Giraffe_edgelist_matriz.csv ","Spatial"
"insecta-ant-colony1-day01","Spatial"
"insecta-ant-colony1-day02","Spatial"
"insecta-ant-colony1-day03","Spatial"
"insecta-ant-colony1-day04","Spatial"
"insecta-ant-colony1-day05","Spatial"
"insecta-ant-colony1-day06","Spatial"
"insecta-ant-colony1-day07","Spatial"
"insecta-ant-colony1-day08","Spatial"
