"graph_name","method","total_nodes_in_network","n_groups_detected","group_sizes","n_groups_passing_threshold","pct_groups_classifiable"
"Badger_Autumn1","walktrap",20,3,"9, 8, 3",2,66.7
"Badger_Autumn1","louvain",20,3,"9, 8, 3",2,66.7
"Badger_Autumn1","leading_eigen",20,2,"12, 8",2,100
"Badger_Autumn1","infomap",20,3,"9, 8, 3",2,66.7
"Badger_Autumn1","prescribed",20,5,"8, 8, 2, 1, 1",2,40
"Badger_Autumn2","walktrap",14,2,"8, 6",1,50
"Badger_Autumn2","louvain",14,2,"8, 6",1,50
"Badger_Autumn2","leading_eigen",14,2,"8, 6",1,50
"Badger_Autumn2","infomap",14,2,"8, 6",1,50
"Badger_Autumn2","prescribed",14,2,"8, 6",1,50
"Badger_Autumn3","walktrap",26,5,"9, 7, 5, 3, 2",1,20
"Badger_Autumn3","louvain",26,4,"9, 7, 5, 5",1,25
"Badger_Autumn3","leading_eigen",26,5,"10, 7, 5, 2, 2",1,20
"Badger_Autumn3","infomap",26,4,"10, 7, 5, 4",1,25
"Badger_Autumn3","prescribed",26,5,"9, 8, 3, 3, 3",2,40
"Badger_Autumn4","walktrap",41,5,"12, 11, 9, 5, 4",3,60
"Badger_Autumn4","louvain",41,5,"13, 10, 9, 5, 4",3,60
"Badger_Autumn4","leading_eigen",41,5,"13, 10, 10, 4, 4",3,60
"Badger_Autumn4","infomap",41,6,"12, 10, 9, 5, 4, 1",3,50
"Badger_Autumn4","prescribed",41,7,"9, 9, 8, 5, 4, 3, 3",3,42.9
"Badger_Spring1","walktrap",25,3,"11, 8, 6",2,66.7
"Badger_Spring1","louvain",25,3,"9, 8, 8",3,100
"Badger_Spring1","leading_eigen",25,3,"11, 8, 6",2,66.7
"Badger_Spring1","infomap",25,3,"11, 8, 6",2,66.7
"Badger_Spring1","prescribed",25,5,"9, 6, 5, 3, 2",1,20
"Badger_Spring2","walktrap",16,3,"8, 5, 3",1,33.3
"Badger_Spring2","louvain",16,3,"8, 5, 3",1,33.3
"Badger_Spring2","leading_eigen",16,3,"8, 5, 3",1,33.3
"Badger_Spring2","infomap",16,3,"8, 5, 3",1,33.3
"Badger_Spring2","prescribed",16,4,"8, 3, 3, 2",1,25
"Badger_Spring3","walktrap",14,3,"7, 4, 3",0,0
"Badger_Spring3","louvain",14,3,"7, 4, 3",0,0
"Badger_Spring3","leading_eigen",14,2,"7, 7",0,0
"Badger_Spring3","infomap",14,2,"7, 7",0,0
"Badger_Spring3","prescribed",14,4,"5, 5, 2, 2",0,0
"Badger_Summer1","walktrap",38,5,"10, 9, 9, 6, 4",3,60
"Badger_Summer1","louvain",38,5,"11, 9, 9, 5, 4",3,60
"Badger_Summer1","leading_eigen",38,6,"10, 10, 9, 4, 3, 2",3,50
"Badger_Summer1","infomap",38,5,"10, 9, 9, 6, 4",3,60
"Badger_Summer1","prescribed",38,7,"9, 9, 5, 5, 4, 3, 3",2,28.6
"Badger_Summer2","walktrap",24,4,"10, 8, 4, 2",2,50
"Badger_Summer2","louvain",24,3,"9, 9, 6",2,66.7
"Badger_Summer2","leading_eigen",24,3,"10, 9, 5",2,66.7
"Badger_Summer2","infomap",24,4,"10, 8, 4, 2",2,50
"Badger_Summer2","prescribed",24,5,"9, 5, 4, 3, 3",1,20
"Badger_Summer3","walktrap",35,6,"10, 9, 5, 5, 3, 3",2,33.3
