"Graph.Name","Captive","Interaction_type","Data_collection","Species","Data_duration_days","Class","target","Predicted_classes"
"aves-barn-swallow-contact-network","No","Physical_contact","logger","Hirundo_rustica",11,"Aves","aves-barn-swallow-contact-network","Scale-Free"
"aves-barn-swallow-non-physical","No","Physical_contact","logger","Hirundo_rustica",11,"Aves","aves-barn-swallow-non-physical","Geometric Graphs"
"aves-geese-female-foraging","Yes","Foraging","survey_scan","Branta_leucopsis",15,"Aves","aves-geese-female-foraging","Small-World"
"aves-geese-male-foraging","Yes","Foraging","survey_scan","Branta_leucopsis",15,"Aves","aves-geese-male-foraging","Small-World"
"aves-hens-pecking-order","Yes","Dominance","direct_observation","Gallus_gallus",11,"Aves","aves-hens-pecking-order","Small-World"
"aves-songbird-social","No","Social_projection_bipartite","RFID","Haemorhous_mexicanus",137,"Aves","aves-songbird-social","Scale-Free"
"aves-sparrow-social-2009","No","Group_membership","survey_scan","Zonotrichia_atricapilla",90,"Aves","aves-sparrow-social-2009","Geometric Graphs"
"aves-sparrow-social-2010","No","Group_membership","survey_scan","Zonotrichia_atricapilla",90,"Aves","aves-sparrow-social-2010","Geometric Graphs"
"aves-sparrow-social","No","Group_membership","survey_scan","Zonotrichia_atricapilla",90,"Aves","aves-sparrow-social","Scale-Free"
"aves-sparrowlyon-flock-season2","No","Group_membership","survey_scan","Zonotrichia_atricapilla",120,"Aves","aves-sparrowlyon-flock-season2","Scale-Free"
"aves-sparrowlyon-flock-season3","No","Group_membership","survey_scan","Zonotrichia_atricapilla",120,"Aves","aves-sparrowlyon-flock-season3","Geometric Graphs"
"aves-thornbill-farine","No","Group_membership","survey_scan","Acanthiza_sp",60,"Aves","aves-thornbill-farine","Geometric Graphs"
"aves-weaver-social-00","No","Social_projection_bipartite","mark_recapture","Philetairus_socius",300,"Aves","aves-weaver-social-00","Geometric Graphs"
"aves-weaver-social-03","No","Social_projection_bipartite","mark_recapture","Philetairus_socius",300,"Aves","aves-weaver-social-03","Geometric Graphs"
