"","Model","Validation","Held_Out_Group","Target_Class","Class_Precision","Class_Recall","Class_F1","Class_Support"
"1","With_Species","Random_70_30_Split","None","ER",1,0.1111,0.2,9
"2","With_Species","Random_70_30_Split","None","sbm",0,0,0,7
"3","With_Species","Random_70_30_Split","None","SF",0.5,0.7959,0.6142,49
"4","With_Species","Random_70_30_Split","None","Spatial",0.875,0.8448,0.8596,116
"5","With_Species","Random_70_30_Split","None","SW",0,0,0,10
"6","With_Species","Leave_One_species_Out","Camponotus_fellah","ER",0,0,0,7
"7","With_Species","Leave_One_species_Out","Camponotus_fellah","sbm",0,0,0,0
"8","With_Species","Leave_One_species_Out","Camponotus_fellah","SF",0.028,1,0.0545,7
"9","With_Species","Leave_One_species_Out","Camponotus_fellah","Spatial",0,0,0,236
"10","With_Species","Leave_One_species_Out","Camponotus_fellah","SW",0,0,0,0
"11","With_Species","Leave_One_species_Out","Microtus_agrestis","ER",0,0,0,2
"12","With_Species","Leave_One_species_Out","Microtus_agrestis","sbm",0,0,0,11
"13","With_Species","Leave_One_species_Out","Microtus_agrestis","SF",0,0,0,67
"14","With_Species","Leave_One_species_Out","Microtus_agrestis","Spatial",0.351,1,0.5196,53
"15","With_Species","Leave_One_species_Out","Microtus_agrestis","SW",0,0,0,18
"16","With_Species","Leave_One_species_Out","Macaca_fuscata","ER",0,0,0,0
"17","With_Species","Leave_One_species_Out","Macaca_fuscata","sbm",0,0,0,1
"18","With_Species","Leave_One_species_Out","Macaca_fuscata","SF",1,0.0588,0.1111,17
"19","With_Species","Leave_One_species_Out","Macaca_fuscata","Spatial",0.5143,1,0.6792,18
"20","With_Species","Leave_One_species_Out","Macaca_fuscata","SW",0,0,0,0
"21","With_Species","Leave_One_species_Out","Procyon_lotor","ER",0,0,0,0
"22","With_Species","Leave_One_species_Out","Procyon_lotor","sbm",0,0,0,4
"23","With_Species","Leave_One_species_Out","Procyon_lotor","SF",0.5714,1,0.7273,16
"24","With_Species","Leave_One_species_Out","Procyon_lotor","Spatial",0,0,0,8
