"","Model","Validation","Held_Out_Group","Overall_Accuracy","Balanced_Accuracy","Macro_Precision","Macro_F1","Weighted_Precision","Weighted_Recall","Weighted_F1","Baseline_Accuracy","Total_Test_Samples"
"1","With_Species","Random_70_30_Split","None",0.7225,0.3504,0.475,0.3348,0.7068,0.7225,0.6891,0.6073,191
"2","With_Species","Leave_One_species_Out","Camponotus_fellah",0.028,0.2,0.0056,0.0109,8e-04,0.028,0.0015,0.944,250
"3","With_Species","Leave_One_species_Out","Microtus_agrestis",0.351,0.2,0.0702,0.1039,0.1232,0.351,0.1824,0.4437,151
"4","With_Species","Leave_One_species_Out","Macaca_fuscata",0.5278,0.2118,0.3029,0.1581,0.7294,0.5278,0.3921,0.5,36
"5","With_Species","Leave_One_species_Out","Procyon_lotor",0.5714,0.2,0.1143,0.1455,0.3265,0.5714,0.4156,0.5714,28
"6","With_Species","Leave_One_species_Out","Papio_cynocephalus",0,0,0,0,0,0,0,0.4615,26
"7","With_Species","Leave_One_class_Out","Mammalia",0.3502,0.1689,0.1259,0.1357,0.2588,0.3502,0.2803,0.4175,297
"8","With_Species","Leave_One_class_Out","Insecta",0.0036,8e-04,0.0111,0.0016,0.047,0.0036,0.0067,0.8459,279
"9","With_Species","Leave_One_class_Out","Aves",0.5833,0.2071,0.169,0.1774,0.443,0.5833,0.4879,0.5833,36
"10","With_Species","Leave_One_class_Out","Reptilia",0.4583,0.2,0.0917,0.1257,0.2101,0.4583,0.2881,0.5,24
"11","With_Species","Leave_One_interaction_type_Out","Physical_contact",0.0735,0.1912,0.1467,0.0283,0.588,0.0735,0.0233,0.875,272
"12","With_Species","Leave_One_interaction_type_Out","Social_projection_bipartite",0.4,0.2,0.08,0.1143,0.16,0.4,0.2286,0.44,200
"13","With_Species","Leave_One_interaction_type_Out","Spatial_proximity",0.2897,0.1378,0.0667,0.0899,0.1402,0.2897,0.189,0.4206,107
"14","With_Species","Leave_One_interaction_type_Out","Grooming",0.5143,0.2,0.1029,0.1358,0.2645,0.5143,0.3493,0.5143,35
