"graph_name","weight_method","component_mode","baseline_class","n_thresholds_evaluated","n_distinct_predictions","classes_seen","prop_matching_baseline","stable","n_unclassifiable"
"Badger_Autumn1.csv ","adjacency","full_network","Spatial",8,2,"Spatial, SW",0.125,FALSE,4
"Badger_Autumn2.csv ","adjacency","full_network","Spatial",6,2,"Spatial, SW",0.166666666666667,FALSE,2
"Badger_Autumn3.csv ","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"Badger_Autumn4.csv ","adjacency","full_network","Spatial",9,1,"Spatial",0.111111111111111,TRUE,8
"Badger_Spring1.csv ","adjacency","full_network","Spatial",10,1,"Spatial",0.1,TRUE,9
"Badger_Spring2.csv ","adjacency","full_network","Spatial",7,2,"Spatial, SW",0.428571428571429,FALSE,2
"Badger_Spring3.csv ","adjacency","full_network","Spatial",9,1,"Spatial",0.111111111111111,TRUE,8
"Badger_Summer1.csv ","adjacency","full_network","Spatial",10,1,"Spatial",0.1,TRUE,9
"Badger_Summer2.csv ","adjacency","full_network","Spatial",10,1,"Spatial",0.2,TRUE,8
"Badger_Summer3.csv ","adjacency","full_network","Spatial",9,1,"Spatial",0.111111111111111,TRUE,8
"Badger_Summer4.csv ","adjacency","full_network","Spatial",7,2,"SF, Spatial",0.142857142857143,FALSE,5
"Badger_Winter2.csv ","adjacency","full_network","Spatial",10,2,"Spatial, SW",0.3,FALSE,6
"Badger_Winter3.csv ","adjacency","full_network","Spatial",10,1,"Spatial",0.1,TRUE,9
"Badger_Winter4.csv ","adjacency","full_network","Spatial",9,1,"Spatial",0.111111111111111,TRUE,8
"Chimp_AprSRI_G_Matrix.csv ","adjacency","full_network","Spatial",3,2,"Spatial, SW",0.333333333333333,FALSE,0
"Chimp_Apr_Prob5_MatrixNoNAs.csv ","adjacency","full_network","SF",10,1,"SF",0.1,TRUE,9
"Chimp_Aug_Prob5_MatrixNoNAs.csv ","adjacency","full_network","SF",10,2,"SF, Spatial",0.1,FALSE,3
"Chimp_Dec_Prob5_MatrixNoNAs.csv ","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"Chimp_FebSRI_G_Matrix.csv ","adjacency","full_network","Spatial",4,2,"Spatial, SW",0.25,FALSE,1
"Chimp_Feb_Prob5_MatrixNoNAs.csv ","adjacency","full_network","Spatial",10,1,"Spatial",1,TRUE,0
"Chimp_JanSRI_G_Matrix.csv ","adjacency","full_network","Spatial",7,2,"Spatial, SW",0.142857142857143,FALSE,5
"Chimp_Jan_Prob5_MatrixNoNAs.csv ","adjacency","full_network","Spatial",10,1,"Spatial",0.7,TRUE,3
"Chimp_JulSRI_G_Matrix.csv ","adjacency","full_network","Spatial",7,1,"Spatial",0.285714285714286,TRUE,5
"Chimp_Jul_Prob5_MatrixNoNAs.csv ","adjacency","full_network","Spatial",10,1,"Spatial",0.1,TRUE,9
