"graph_name","weight_method","component_mode","threshold_quant","threshold","n_nodes","n_edges","baseline_class","predicted_class","is_baseline","matches_baseline"
"aves-barn-swallow-contact-network","adjacency","full_network","0%",0,17,53,"SF","SF",TRUE,TRUE
"aves-barn-swallow-contact-network","adjacency","largest_component","0%",0,17,53,"SF","SF",TRUE,TRUE
"aves-barn-swallow-contact-network","adjacency","full_network","10%",0.106666666666667,16,47,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","largest_component","10%",0.106666666666667,16,47,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","full_network","20%",0.166666666666667,16,44,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","largest_component","20%",0.166666666666667,16,44,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","full_network","30%",0.181818181818182,16,40,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","largest_component","30%",0.181818181818182,16,40,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","full_network","40%",0.220634920634921,14,32,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","largest_component","40%",0.220634920634921,14,32,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","full_network","50%",0.25,13,29,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","largest_component","50%",0.25,13,29,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","full_network","60%",0.272727272727273,13,22,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","largest_component","60%",0.272727272727273,13,22,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","full_network","70%",0.291428571428571,10,16,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","largest_component","70%",0.291428571428571,10,16,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","full_network","80%",0.363636363636364,9,12,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","largest_component","80%",0.363636363636364,9,12,"SF","SF",FALSE,TRUE
"aves-barn-swallow-contact-network","adjacency","full_network","90%",0.396923076923077,7,6,"SF",NA,FALSE,FALSE
"aves-barn-swallow-contact-network","adjacency","largest_component","90%",0.396923076923077,4,3,"SF",NA,FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","full_network","0%",0,20,56,"Spatial","Spatial",TRUE,TRUE
"Badger_Autumn1.csv ","adjacency","largest_component","0%",0,20,56,"Spatial","Spatial",TRUE,TRUE
"Badger_Autumn1.csv ","adjacency","full_network","10%",0.2,17,51,"Spatial",NA,FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","largest_component","10%",0.2,9,23,"Spatial","sbm",FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","full_network","20%",0.25,17,46,"Spatial",NA,FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","largest_component","20%",0.25,9,18,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn1.csv ","adjacency","full_network","30%",0.375,16,40,"Spatial",NA,FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","largest_component","30%",0.375,8,12,"Spatial","SF",FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","full_network","40%",0.444444444444444,14,35,"Spatial",NA,FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","largest_component","40%",0.444444444444444,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","full_network","50%",0.619047619047619,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","largest_component","50%",0.619047619047619,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","full_network","60%",0.666666666666667,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","largest_component","60%",0.666666666666667,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","full_network","70%",0.75,7,21,"Spatial","SW",FALSE,FALSE
"Badger_Autumn1.csv ","adjacency","largest_component","70%",0.75,7,21,"Spatial","SW",FALSE,FALSE
"Badger_Autumn2.csv ","adjacency","full_network","0%",0.0769230769230769,14,40,"Spatial","Spatial",TRUE,TRUE
"Badger_Autumn2.csv ","adjacency","largest_component","0%",0.0769230769230769,14,40,"Spatial","Spatial",TRUE,TRUE
"Badger_Autumn2.csv ","adjacency","full_network","10%",0.166666666666667,14,38,"Spatial",NA,FALSE,FALSE
"Badger_Autumn2.csv ","adjacency","largest_component","10%",0.166666666666667,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn2.csv ","adjacency","full_network","20%",0.323809523809524,12,32,"Spatial",NA,FALSE,FALSE
"Badger_Autumn2.csv ","adjacency","largest_component","20%",0.323809523809524,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn2.csv ","adjacency","full_network","30%",0.57,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn2.csv ","adjacency","largest_component","30%",0.57,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn2.csv ","adjacency","full_network","40%",0.6,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn2.csv ","adjacency","largest_component","40%",0.6,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Autumn2.csv ","adjacency","full_network","50%",0.75,7,21,"Spatial","SW",FALSE,FALSE
"Badger_Autumn2.csv ","adjacency","largest_component","50%",0.75,7,21,"Spatial","SW",FALSE,FALSE
"Badger_Autumn3.csv ","adjacency","full_network","0%",0,26,67,"Spatial","Spatial",TRUE,TRUE
"Badger_Autumn3.csv ","adjacency","largest_component","0%",0,26,67,"Spatial","Spatial",TRUE,TRUE
"Badger_Autumn3.csv ","adjacency","full_network","10%",0.0878787878787879,23,60,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn3.csv ","adjacency","largest_component","10%",0.0878787878787879,23,60,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn3.csv ","adjacency","full_network","20%",0.142857142857143,23,54,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn3.csv ","adjacency","largest_component","20%",0.142857142857143,23,54,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn3.csv ","adjacency","full_network","30%",0.2,19,48,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn3.csv ","adjacency","largest_component","30%",0.2,19,48,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn3.csv ","adjacency","full_network","40%",0.277922077922078,19,40,"Spatial",NA,FALSE,FALSE
"Badger_Autumn3.csv ","adjacency","largest_component","40%",0.277922077922078,8,16,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn3.csv ","adjacency","full_network","50%",0.333333333333333,19,37,"Spatial",NA,FALSE,FALSE
"Badger_Autumn3.csv ","adjacency","largest_component","50%",0.333333333333333,8,16,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn3.csv ","adjacency","full_network","60%",0.4,19,29,"Spatial",NA,FALSE,FALSE
"Badger_Autumn3.csv ","adjacency","largest_component","60%",0.4,8,10,"Spatial","SF",FALSE,FALSE
"Badger_Autumn3.csv ","adjacency","full_network","70%",0.444444444444444,16,21,"Spatial",NA,FALSE,FALSE
"Badger_Autumn3.csv ","adjacency","largest_component","70%",0.444444444444444,7,13,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn3.csv ","adjacency","full_network","80%",0.5,12,17,"Spatial",NA,FALSE,FALSE
"Badger_Autumn3.csv ","adjacency","largest_component","80%",0.5,6,12,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn3.csv ","adjacency","full_network","90%",0.555555555555556,9,10,"Spatial",NA,FALSE,FALSE
"Badger_Autumn3.csv ","adjacency","largest_component","90%",0.555555555555556,5,7,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn4.csv ","adjacency","full_network","0%",0,41,116,"Spatial","Spatial",TRUE,TRUE
"Badger_Autumn4.csv ","adjacency","largest_component","0%",0,41,116,"Spatial","Spatial",TRUE,TRUE
"Badger_Autumn4.csv ","adjacency","full_network","10%",0.142857142857143,41,105,"Spatial",NA,FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","largest_component","10%",0.142857142857143,12,30,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn4.csv ","adjacency","full_network","20%",0.25,38,96,"Spatial",NA,FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","largest_component","20%",0.25,11,26,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn4.csv ","adjacency","full_network","30%",0.363636363636364,34,82,"Spatial",NA,FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","largest_component","30%",0.363636363636364,9,36,"Spatial","SW",FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","full_network","40%",0.428571428571429,33,75,"Spatial",NA,FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","largest_component","40%",0.428571428571429,9,36,"Spatial","SW",FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","full_network","50%",0.5,28,63,"Spatial",NA,FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","largest_component","50%",0.5,9,36,"Spatial","SW",FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","full_network","60%",0.6,20,50,"Spatial",NA,FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","largest_component","60%",0.6,9,36,"Spatial","SW",FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","full_network","70%",0.7,13,37,"Spatial",NA,FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","largest_component","70%",0.7,9,35,"Spatial","Spatial",FALSE,TRUE
"Badger_Autumn4.csv ","adjacency","full_network","90%",0.777777777777778,9,22,"Spatial",NA,FALSE,FALSE
"Badger_Autumn4.csv ","adjacency","largest_component","90%",0.777777777777778,7,21,"Spatial","SW",FALSE,FALSE
"Badger_Spring1.csv ","adjacency","full_network","0%",0,25,71,"Spatial","Spatial",TRUE,TRUE
"Badger_Spring1.csv ","adjacency","largest_component","0%",0,25,71,"Spatial","Spatial",TRUE,TRUE
"Badger_Spring1.csv ","adjacency","full_network","10%",0.125,23,64,"Spatial",NA,FALSE,FALSE
"Badger_Spring1.csv ","adjacency","largest_component","10%",0.125,15,44,"Spatial","Spatial",FALSE,TRUE
"Badger_Spring1.csv ","adjacency","full_network","20%",0.222222222222222,22,58,"Spatial",NA,FALSE,FALSE
"Badger_Spring1.csv ","adjacency","largest_component","20%",0.222222222222222,15,39,"Spatial","Spatial",FALSE,TRUE
"Badger_Spring1.csv ","adjacency","full_network","30%",0.333333333333333,19,49,"Spatial",NA,FALSE,FALSE
"Badger_Spring1.csv ","adjacency","largest_component","30%",0.333333333333333,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Spring1.csv ","adjacency","full_network","40%",0.444444444444444,15,44,"Spatial",NA,FALSE,FALSE
"Badger_Spring1.csv ","adjacency","largest_component","40%",0.444444444444444,8,28,"Spatial","SW",FALSE,FALSE
"Badger_Spring1.csv ","adjacency","full_network","50%",0.555555555555556,14,37,"Spatial",NA,FALSE,FALSE
"Badger_Spring1.csv ","adjacency","largest_component","50%",0.555555555555556,8,24,"Spatial","Spatial",FALSE,TRUE
"Badger_Spring1.csv ","adjacency","full_network","60%",0.571428571428572,13,28,"Spatial",NA,FALSE,FALSE
"Badger_Spring1.csv ","adjacency","largest_component","60%",0.571428571428572,8,24,"Spatial","Spatial",FALSE,TRUE
"Badger_Spring1.csv ","adjacency","full_network","70%",0.636363636363637,13,21,"Spatial",NA,FALSE,FALSE
"Badger_Spring1.csv ","adjacency","largest_component","70%",0.636363636363637,8,17,"Spatial","Spatial",FALSE,TRUE
"Badger_Spring1.csv ","adjacency","full_network","80%",0.666666666666667,13,21,"Spatial",NA,FALSE,FALSE
"Badger_Spring1.csv ","adjacency","largest_component","80%",0.666666666666667,8,17,"Spatial","Spatial",FALSE,TRUE
"Badger_Spring1.csv ","adjacency","full_network","90%",0.714285714285714,9,10,"Spatial",NA,FALSE,FALSE
"Badger_Spring1.csv ","adjacency","largest_component","90%",0.714285714285714,4,6,"Spatial",NA,FALSE,FALSE
"Badger_Spring2.csv ","adjacency","full_network","0%",0,16,43,"Spatial","Spatial",TRUE,TRUE
"Badger_Spring2.csv ","adjacency","largest_component","0%",0,16,43,"Spatial","Spatial",TRUE,TRUE
"Badger_Spring2.csv ","adjacency","full_network","10%",0.0977272727272727,13,38,"Spatial","Spatial",FALSE,TRUE
"Badger_Spring2.csv ","adjacency","largest_component","10%",0.0977272727272727,13,38,"Spatial","Spatial",FALSE,TRUE
"Badger_Spring2.csv ","adjacency","full_network","20%",0.166666666666667,13,35,"Spatial","Spatial",FALSE,TRUE
"Badger_Spring2.csv ","adjacency","largest_component","20%",0.166666666666667,13,35,"Spatial","Spatial",FALSE,TRUE
"Badger_Spring2.csv ","adjacency","full_network","30%",0.271428571428571,12,30,"Spatial",NA,FALSE,FALSE
