"graph_name","component_mode","0%","10%","20%","30%","40%","50%","60%","70%","80%","90%"
"aves-barn-swallow-contact-network","full_network","SF","SF","SF","SF","SF","SF","SF","SF","SF",NA
"aves-barn-swallow-contact-network","largest_component","SF","SF","SF","SF","SF","SF","SF","SF","SF",NA
"Badger_Autumn1.csv ","full_network","Spatial",NA,NA,NA,NA,"SW","SW","SW",NA,NA
"Badger_Autumn1.csv ","largest_component","Spatial","sbm","Spatial","SF","SW","SW","SW","SW",NA,NA
"Badger_Autumn2.csv ","full_network","Spatial",NA,NA,"SW","SW","SW",NA,NA,NA,NA
"Badger_Autumn2.csv ","largest_component","Spatial","SW","SW","SW","SW","SW",NA,NA,NA,NA
"Badger_Autumn3.csv ","full_network","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA,NA
"Badger_Autumn3.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","Spatial","Spatial","Spatial"
"Badger_Autumn4.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badger_Autumn4.csv ","largest_component","Spatial","Spatial","Spatial","SW","SW","SW","SW","Spatial",NA,"SW"
"Badger_Spring1.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badger_Spring1.csv ","largest_component","Spatial","Spatial","Spatial","SW","SW","Spatial","Spatial","Spatial","Spatial",NA
"Badger_Spring2.csv ","full_network","Spatial","Spatial","Spatial",NA,"SW",NA,NA,NA,"SW",NA
"Badger_Spring2.csv ","largest_component","Spatial","Spatial","Spatial","SW","SW",NA,NA,"SW","SW",NA
"Badger_Spring3.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badger_Spring3.csv ","largest_component","Spatial","SF","SF",NA,"SF","SF","SF","SF",NA,NA
"Badger_Summer1.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badger_Summer1.csv ","largest_component","Spatial","SF","SF","SF","SW","SW","SW","Spatial","SW","SW"
"Badger_Summer2.csv ","full_network","Spatial","Spatial",NA,NA,NA,NA,NA,NA,NA,NA
"Badger_Summer2.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","SF","SF","SF","SF","SF","SF"
"Badger_Summer3.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badger_Summer3.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","SF","SW","Spatial","Spatial","Spatial",NA
"Badger_Summer4.csv ","full_network","Spatial",NA,NA,NA,NA,NA,"SF",NA,NA,NA
"Badger_Summer4.csv ","largest_component","Spatial","Spatial","SW","SW",NA,"SW","SF",NA,NA,"SW"
"Badger_Winter2.csv ","full_network","Spatial",NA,NA,NA,NA,"Spatial","Spatial",NA,NA,"SW"
"Badger_Winter2.csv ","largest_component","Spatial","Spatial","Spatial","SF","SW","Spatial","Spatial","SW","SW","SW"
"Badger_Winter3.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badger_Winter3.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"Badger_Winter4.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badger_Winter4.csv ","largest_component","Spatial",NA,"Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","sbm"
"Chimp__AugSRI_G_Matrix.csv ","full_network","Spatial","SW",NA,NA,"SW",NA,NA,NA,NA,NA
"Chimp__AugSRI_G_Matrix.csv ","largest_component","Spatial","SW",NA,NA,"SW",NA,NA,NA,NA,NA
"Chimp__DecSRI_G_Matrix.csv ","full_network","Spatial",NA,"SW","Spatial",NA,NA,NA,NA,NA,NA
"Chimp__DecSRI_G_Matrix.csv ","largest_component","Spatial","SW","SW","Spatial",NA,NA,"SW","SW",NA,"SW"
"Chimp__JunSRI_G_Matrix.csv ","full_network","Spatial","Spatial","Spatial","Spatial",NA,"Spatial",NA,NA,NA,NA
"Chimp__JunSRI_G_Matrix.csv ","largest_component","Spatial","Spatial","Spatial","Spatial",NA,"Spatial","Spatial",NA,NA,"SW"
"Chimp_Apr_Prob5_MatrixNoNAs.csv ","full_network","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimp_Apr_Prob5_MatrixNoNAs.csv ","largest_component","SF","SF","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"Chimp_AprSRI_G_Matrix.csv ","full_network","Spatial","SW",NA,"SW",NA,NA,NA,NA,NA,NA
"Chimp_AprSRI_G_Matrix.csv ","largest_component","Spatial","SW",NA,"SW",NA,NA,NA,NA,NA,NA
"Chimp_Aug_Prob5_MatrixNoNAs.csv ","full_network","SF","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA
"Chimp_Aug_Prob5_MatrixNoNAs.csv ","largest_component","SF","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"Chimp_Dec_Prob5_MatrixNoNAs.csv ","full_network","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA
"Chimp_Dec_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA
"Chimp_Feb_Prob5_MatrixNoNAs.csv ","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"Chimp_Feb_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"Chimp_FebSRI_G_Matrix.csv ","full_network","Spatial","SW",NA,NA,NA,NA,"SW",NA,NA,NA
"Chimp_FebSRI_G_Matrix.csv ","largest_component","Spatial","SW",NA,NA,NA,"SW","SW",NA,NA,NA
"Chimp_Jan_Prob5_MatrixNoNAs.csv ","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,"Spatial",NA,NA
"Chimp_Jan_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"Chimp_JanSRI_G_Matrix.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,"SW",NA
"Chimp_JanSRI_G_Matrix.csv ","largest_component","Spatial",NA,"Spatial","Spatial","Spatial",NA,"SW","SW","SW",NA
"Chimp_Jul_Prob5_MatrixNoNAs.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimp_Jul_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","SF","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","sbm"
"Chimp_JulSRI_G_Matrix.csv ","full_network","Spatial",NA,"Spatial",NA,NA,NA,NA,NA,NA,NA
"Chimp_JulSRI_G_Matrix.csv ","largest_component","Spatial","Spatial","Spatial","SW","sbm","Spatial",NA,NA,"SW",NA
"Chimp_Jun_Prob5_MatrixNoNAs.csv ","full_network","Spatial","Spatial","Spatial","SF","Spatial","Spatial","Spatial","SF","SF","SF"
"Chimp_Jun_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","Spatial","SF","Spatial","Spatial","Spatial","SF","SF","SF"
"Chimp_Mar_Prob5_MatrixNoNAs.csv ","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA
"Chimp_Mar_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","Spatial"
"Chimp_MarSRI_G_Matrix.csv ","full_network","Spatial","Spatial",NA,NA,NA,NA,NA,"SW",NA,NA
"Chimp_MarSRI_G_Matrix.csv ","largest_component","Spatial","Spatial","SW","Spatial","SW",NA,NA,"SW",NA,NA
"Chimp_May_Prob5_MatrixNoNAs.csv ","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,"Spatial"
"Chimp_May_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"Chimp_MaySRI_G_Matrix.csv ","full_network","Spatial","Spatial",NA,NA,NA,NA,"SW",NA,NA,NA
"Chimp_MaySRI_G_Matrix.csv ","largest_component","Spatial","Spatial","SW",NA,"SW","SW","SW",NA,NA,NA
"Domestic_Ddog_matrix1.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domestic_Ddog_matrix1.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","sbm","Spatial","SF"
"Domestic_Ddog_matrix2.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domestic_Ddog_matrix2.csv ","largest_component","Spatial","Spatial","Spatial","SF","SF","SF","SF","sbm","SF","ER"
"Giraffe_edgelist_matriz.csv ","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA
"Giraffe_edgelist_matriz.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day01","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day01","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day02","full_network","Spatial","Spatial","Spatial",NA,NA,NA,NA,"Spatial","Spatial",NA
"insecta-ant-colony1-day02","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day03","full_network","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA,NA,NA
"insecta-ant-colony1-day03","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day04","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA
"insecta-ant-colony1-day04","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day05","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA
"insecta-ant-colony1-day05","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day06","full_network","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA,NA
"insecta-ant-colony1-day06","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day07","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA
